ToPad;Continent;Country;Gender;Month;Number of Records;Sub type;Padded;Total;Type of Moving;viz
49;Asia;Laos;Female;March;1;First time for travelling;49;0;By themselves;Region
49;Asia;Libea;Female;March;1;First time for travelling;49;0;By themselves;Region
49;Asia;Malaysia;Female;March;1;First time for travelling;49;10;By themselves;Region
49;Asia;Myanmar;Female;March;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;March;1;First time for travelling;49;0;By themselves;Region
49;Asia;Other countries in Asia;Female;March;1;First time for travelling;49;3;By themselves;Region
49;Asia;Other countries in Middle East;Female;March;1;First time for travelling;49;1;By themselves;Region
49;Asia;Philippines;Female;March;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;March;1;First time for travelling;49;1;By themselves;Region
49;Asia;Saudi Arabia;Female;March;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;March;1;First time for travelling;49;1;By themselves;Region
49;Asia;South Korea;Female;March;1;First time for travelling;49;1;By themselves;Region
49;Asia;Sudan;Female;March;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;March;1;First time for travelling;49;5;By themselves;Region
49;Asia;Turkey;Female;March;1;First time for travelling;49;6;By themselves;Region
49;Asia;United Arab Emirate;Female;March;1;First time for travelling;49;13;By themselves;Region
49;Asia;Vietnam;Female;March;1;First time for travelling;49;1;By themselves;Region
49;Asia;Brunai;Female;May;1;First time for travelling;49;6;By themselves;Region
49;Asia;Cambodia;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;Hongkong;Female;May;1;First time for travelling;49;25;By themselves;Region
49;Asia;Indonesia;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;Japan;Female;May;1;First time for travelling;49;5;By themselves;Region
49;Asia;Kuweit;Female;May;1;First time for travelling;49;2;By themselves;Region
49;Asia;Laos;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;Libea;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;Malaysia;Female;May;1;First time for travelling;49;5;By themselves;Region
49;Asia;Myanmar;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;Other countries in Asia;Female;May;1;First time for travelling;49;2;By themselves;Region
49;Asia;Other countries in Middle East;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;Philippines;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;May;1;First time for travelling;49;10;By themselves;Region
49;Asia;Saudi Arabia;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;South Korea;Female;May;1;First time for travelling;49;3;By themselves;Region
49;Asia;Sudan;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;May;1;First time for travelling;49;9;By themselves;Region
49;Asia;Turkey;Female;May;1;First time for travelling;49;50;By themselves;Region
49;Asia;United Arab Emirate;Female;May;1;First time for travelling;49;32;By themselves;Region
49;Asia;Vietnam;Female;May;1;First time for travelling;49;0;By themselves;Region
49;Asia;Brunai;Female;November;1;First time for travelling;49;3;By themselves;Region
49;Asia;Cambodia;Female;November;1;First time for travelling;49;0;By themselves;Region
49;Asia;Hongkong;Female;November;1;First time for travelling;49;53;By themselves;Region
49;Asia;Indonesia;Female;November;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;November;1;First time for travelling;49;0;By themselves;Region
49;Asia;Japan;Female;November;1;First time for travelling;49;5;By themselves;Region
49;Asia;Kuweit;Female;November;1;First time for travelling;49;7;By themselves;Region
49;Asia;Laos;Female;November;1;First time for travelling;49;2;By themselves;Region
49;Asia;Libea;Female;November;1;First time for travelling;49;0;By themselves;Region
49;Asia;Malaysia;Female;November;1;First time for travelling;49;3;By themselves;Region
49;Asia;Myanmar;Female;November;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;November;1;First time for travelling;49;0;By themselves;Region
49;Asia;Other countries in Asia;Female;November;1;First time for travelling;49;6;By themselves;Region
49;Asia;Other countries in Middle East;Female;November;1;First time for travelling;49;4;By themselves;Region
49;Asia;Philippines;Female;November;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;November;1;First time for travelling;49;5;By themselves;Region
49;Asia;Saudi Arabia;Female;November;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;November;1;First time for travelling;49;4;By themselves;Region
49;Asia;South Korea;Female;November;1;First time for travelling;49;4;By themselves;Region
49;Asia;Sudan;Female;November;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;November;1;First time for travelling;49;8;By themselves;Region
49;Asia;Turkey;Female;November;1;First time for travelling;49;5;By themselves;Region
49;Asia;United Arab Emirate;Female;November;1;First time for travelling;49;9;By themselves;Region
49;Asia;Vietnam;Female;November;1;First time for travelling;49;0;By themselves;Region
49;Asia;Brunai;Female;October;1;First time for travelling;49;5;By themselves;Region
49;Asia;Cambodia;Female;October;1;First time for travelling;49;0;By themselves;Region
49;Asia;Hongkong;Female;October;1;First time for travelling;49;36;By themselves;Region
49;Asia;Indonesia;Female;October;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;October;1;First time for travelling;49;0;By themselves;Region
49;Asia;Japan;Female;October;1;First time for travelling;49;3;By themselves;Region
49;Asia;Kuweit;Female;October;1;First time for travelling;49;1;By themselves;Region
49;Asia;Laos;Female;October;1;First time for travelling;49;1;By themselves;Region
49;Asia;Libea;Female;October;1;First time for travelling;49;0;By themselves;Region
49;Asia;Malaysia;Female;October;1;First time for travelling;49;10;By themselves;Region
49;Asia;Myanmar;Female;October;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;October;1;First time for travelling;49;2;By themselves;Region
49;Asia;Other countries in Asia;Female;October;1;First time for travelling;49;6;By themselves;Region
49;Asia;Other countries in Middle East;Female;October;1;First time for travelling;49;0;By themselves;Region
49;Asia;Philippines;Female;October;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;October;1;First time for travelling;49;2;By themselves;Region
49;Asia;Saudi Arabia;Female;October;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;October;1;First time for travelling;49;2;By themselves;Region
49;Asia;South Korea;Female;October;1;First time for travelling;49;1;By themselves;Region
49;Asia;Sudan;Female;October;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;October;1;First time for travelling;49;5;By themselves;Region
49;Asia;Turkey;Female;October;1;First time for travelling;49;2;By themselves;Region
49;Asia;United Arab Emirate;Female;October;1;First time for travelling;49;15;By themselves;Region
49;Asia;Vietnam;Female;October;1;First time for travelling;49;0;By themselves;Region
49;Asia;Brunai;Female;September;1;First time for travelling;49;6;By themselves;Region
49;Asia;Cambodia;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Asia;Hongkong;Female;September;1;First time for travelling;49;36;By themselves;Region
49;Asia;Indonesia;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Asia;Japan;Female;September;1;First time for travelling;49;6;By themselves;Region
49;Asia;Kuweit;Female;September;1;First time for travelling;49;5;By themselves;Region
49;Asia;Laos;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Asia;Libea;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Asia;Malaysia;Female;September;1;First time for travelling;49;1;By themselves;Region
49;Asia;Myanmar;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;September;1;First time for travelling;49;2;By themselves;Region
49;Asia;Other countries in Asia;Female;September;1;First time for travelling;49;8;By themselves;Region
49;Asia;Other countries in Middle East;Female;September;1;First time for travelling;49;4;By themselves;Region
49;Asia;Philippines;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;September;1;First time for travelling;49;3;By themselves;Region
49;Asia;Saudi Arabia;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;September;1;First time for travelling;49;1;By themselves;Region
49;Asia;South Korea;Female;September;1;First time for travelling;49;2;By themselves;Region
49;Asia;Sudan;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;September;1;First time for travelling;49;5;By themselves;Region
49;Asia;Turkey;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Asia;United Arab Emirate;Female;September;1;First time for travelling;49;4;By themselves;Region
49;Asia;Vietnam;Female;September;1;First time for travelling;49;0;By themselves;Region
49;Australia;Australia;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Australia;New Zealand;Female;April;1;First time for travelling;49;47;By themselves;Region
49;Australia;Papua New Guinea;Female;April;1;First time for travelling;49;0;By themselves;Region
49;Australia;Australia;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Australia;New Zealand;Female;August;1;First time for travelling;49;3;By themselves;Region
49;Australia;Papua New Guinea;Female;August;1;First time for travelling;49;0;By themselves;Region
49;Australia;Australia;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Australia;New Zealand;Female;December;1;First time for travelling;49;5;By themselves;Region
49;Australia;Papua New Guinea;Female;December;1;First time for travelling;49;0;By themselves;Region
49;Australia;Australia;Female;February;1;First time for travelling;49;3;By themselves;Region
49;Australia;New Zealand;Female;February;1;First time for travelling;49;16;By themselves;Region
49;Australia;Papua New Guinea;Female;February;1;First time for travelling;49;1;By themselves;Region
49;Australia;Australia;Female;January;1;First time for travelling;49;0;By themselves;Region
